,dBA
1956,57.4
1957,57.6
1958,61.2
1959,69.8
1960,60.1
1961,58.6
1962,61.3
1963,73.8
1964,58.0
1965,59.6
1966,61.8
1967,70.0
1968,58.0
1969,57.2
1970,61.8
1971,71.3
1972,52.7
1973,55.0
1974,61.4
1975,74.0
1976,53.3
1977,56.3
1978,61.9
1979,77.4
1980,56.2
1981,57.5
1982,61.2
1983,68.0
1984,57.1
1985,56.4
1986,60.6
1987,72.8
1988,58.3
1989,57.2
1990,60.7
1991,73.3
1992,59.7
1993,57.9
1994,62.1
1995,64.8
1996,57.7
1997,57.5
1998,61.9
1999,69.8
2000,52.8
2001,57.4
2002,61.1
2003,77.1
2004,55.8
2005,57.4
2006,60.4
2007,70.4
2008,58.5
2009,55.9
2010,61.2
2011,72.9
2012,60.6
2013,57.5
2014,59.1
2015,74.7
2016,61.0
2017,56.7
2018,58.8
2019,73.3
2020,58.8
2021,56.6
2022,59.9
2023,71.9
2024,61.0
2025,57.5
2026,60.4
2027,74.0
2028,60.9
2029,55.9
2030,61.5
2031,71.2
2032,62.4
2033,56.0
2034,61.6
2035,73.0
2036,62.1
2037,57.3
2038,60.0
2039,70.0
2040,62.3
2041,56.8
2042,60.0
2043,71.6
2044,60.6
2045,57.1
2046,58.5
2047,72.4
2048,61.6
2049,57.6
2050,59.3
2051,75.0
2052,60.3
2053,54.6
2054,59.2
2055,69.2
2056,62.0
2057,56.4
2058,59.5
2059,72.0
2060,62.2
2061,57.5
2062,59.5
2063,75.0
2064,60.8
2065,56.5
2066,59.9
2067,70.6
2068,60.9
2069,56.7
2070,60.8
2071,73.3
2072,61.8
2073,57.0
2074,60.4
2075,73.4
2076,60.8
2077,56.9
2078,59.8
2079,72.5
2080,59.0
2081,56.3
2082,58.8
2083,69.6
2084,62.8
2085,55.3
2086,59.3
2087,74.0
2088,60.2
2089,55.7
2090,58.3
2091,69.6
2092,61.5
2093,58.0
2094,58.9
2095,74.3
2096,61.4
2097,57.1
2098,58.0
2099,74.9
2100,52.3
2101,57.1
2102,57.9
2103,68.1
2104,55.8
2105,56.5
2106,57.5
2107,73.8
2108,56.4
